"Ilgavaisis agurkas, 220 g";"Darþovës ir vaisiai";Darþovës;"Agurkai ir pomidorai";220;g;0,89;4,05;0
"Karðtai rûkyti viðèiukø broileriø skrandukai, 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";250;g;2,49;9,96;0
"Karðtai rûkyti viðèiukø broileriø kakliukai, 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";300;g;1,99;6,63;0
"Karðtai rûkyti viðèiukø broileriø sparneliai su kmynais, 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";400;g;2,99;7,48;0
"Karðtai rûkytas viðèiukø broileriø ketvirtis su kmynais, 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";1;kg;4,49;4,49;0
"Karðtai rûkytas BAJORØ kumpis (vakuumuotas, I r.), 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";1;kg;10,99;10,99;0
"Karðtai rûkyta kiaulienos nugarinës filë PORMET, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";1;kg;4,94;4,94;0
"Karðtai rûkyta KLAIPËDOS kiaulienos nugarinë, a. r., 130 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";130;g;1,69;13;0
"Karðtai rûkyti viðtø ketvirèiai PORMET, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";1;kg;2,69;2,69;0
"Karðtai rûkyta ðoninë, a.r., 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkyti gaminiai";100;g;1,69;16,9;0
"Ðaltai rûkyta kiaulienos Ðvarcvaldo ðoninë AROSO, I r., 80 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";80;g;1,29;16,13;0
"Ðaltai rûkytas kiaulienos Ðvarcvaldo kumpis AROSO, a. r., 80 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";80;g;1,35;16,88;0
"Ðaltai rûkytas kiaulienos kumpis, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";1;kg;10,99;10,99;0
"Ðaltai rûkyto kumpio grieþinëliai, 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";250;g;0;0;0
"Ðaltai rûkyti kiaulienos ðoninës kubeliai MORLINY, 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";200;g;1,69;8,45;0
"Ðaltai rûkyti kiaulienos spirguèiai, I. r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";400;g;0;0;0
"Ðaltai rûkyta kiaulienos nugarinë, pjaustyta, a.r., 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";100;g;1,69;16,9;0
"Ðaltai rûkytas ÐVARCVALDO kumpis, 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";100;g;1,79;17,9;0
"Ðaltai rûkyta nugarinë, a.r., 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";100;g;1,99;19,9;0
"Maþ. rûkytas brandintas kiaulienos kumpis Aukðèiausia rûðis, 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";100;g;3,29;32,9;0
"Ðaltai rûkyti laðiniai, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";1;kg;7,99;7,99;0
"Ðaltai rûkyta KLEBONIÐKA nugarinë, a. r., 80 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";80;g;1,79;22,38;0
"Ðaltai rûkytas kiaulienos kumpis, nerûð., 100 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";100;g;0;0;0
"Maþai rûkyta pjaustyta kiaulienos filë, a. r., 90 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";90;g;1,57;17,44;0
"Ðaltai rûkyta ðoninë BEKONAS, I r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";200;g;2,99;14,95;0
"Ðaltai rûkytas pjaustytas JUODASIS kumpis, a. r., 110 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";110;g;2,69;24,45;0
"Karðtai rûkytos KRIVIO kaimiðko dûmo deðrelës, a.r., 590 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";590;g;3,89;6,59;0
"Ðaltai rûkyta kiaulienos nugarinë, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";1;kg;12,99;12,99;0
"Karðtai rûkytos MEDÞIOTOJØ deðrelës, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";600;g;2,99;4,98;0
"Ðaltai rûkytas kiaulienos kumpis LANDSCHINKEN Pirma rûðis, 80 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";80;g;1,99;24,88;0
"Karðtai rûkytos BIOVELOS deðrelës, I r., 570 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";570;g;2,99;5,25;0
"Ðaltai rûkyto saliamio gabaliukai / grieþinëliai, 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";250;g;0;0;0
"Ðaltai rûkytos ðoninës kubeliai, a.r., 140 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Ðaltai rûkyti gaminiai";140;g;1,39;9,93;0
"Karðt. rûkyt. MEDÞIOTOJØ deðrelës BIOVELA, a. r., 580 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";580;g;2,99;5,16;0
"Virta rûkyta MOZÛRØ deðra, II r., 480 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";480;g;2,29;4,77;0
"Karðtai rûkytos GARDÞIOSIOS deðrelës, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";600;g;3,39;5,65;0
"Karðtai rûkytos GIMINIØ MEDÞIOTOJØ deðrelës, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";250;g;2,49;9,96;0
"Karðtai rûkytos MEDÞIOTOJØ TRADICINËS deðrelës, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";250;g;2,99;11,96;0
"Karðtai rûkytos SAMSONO MEDÞIOTOJØ deðrelës, a. r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";200;g;1,99;9,95;0
"Karðtai rûkytos SMETONIÐKOS MEDÞIOTOJØ deðrelës, a. r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";200;g;1,52;7,6;0
"Karðtai rûkytos BAJORØ kiaulienos deðrelës, a.r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";300;g;2,49;8,3;0
"Virtos SAMSONO pieniðkos deðrelës, a.r., 620 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";620;g;4,69;7,56;0
"Karðtai rûkytos deðrelës KAI NORISI MËSOS, a. r., 230 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";230;g;2,39;10,39;0
"Virtos PAJÛRIO sardelës, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";1;kg;3,09;3,09;0
"Karðtai rûkytos GIMINIØ deðrelës, I r., 800 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Parûkytos deðros ir deðrelës";800;g;3,89;4,86;0
"Virtos VILNIAUS EKSTRA pieniðkos deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;1,96;7,54;0
"Virtos deðrelës KIDS, KAI NORISI MËSOS, a. r., 230 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";230;g;2,19;9,52;0
"Virtos GASPADORIAUS deðrelës, a. r., 720 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";720;g;2,19;3,04;0
"Virtos KLAIPËDOS pieniðkos deðrelës, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";300;g;2,09;6,97;0
"VILNIAUS pieniðkos virtos deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;1,19;4,58;0
"Virtos LIETUVIÐKOS pieniðkos deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;1,55;5,96;0
"Virtos KLAIPËDOS pieniðkos deðrelës, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";600;g;3,79;6,32;0
"Virtos JONIÐKIO sardelës, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";600;g;4,99;8,32;0
"Virtos deðrelës LIETUVOS STANDARTAS, a. r., 520 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";520;g;0;0;0
"Virtos LIETUVIÐKOS sardelës, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";1;kg;2,99;2,99;4,49
"Virtos viðtienos deðrainiø deðrelës HOT-DOG su sûriu 800 g., 0.8 vnt.";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";0.8;vnt.;2,19;2,74;0
"Virtos SAMSONO pieniðkos deðrelës, a. r., 310 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";310;g;1,245;4,02;2,49
"Virtos KLAIPËDOS EKSTRA deðrelës, a.r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";300;g;1,89;6,3;0
"Virtos TRAÐKIOS kalakutienos deðrelës, a.r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";280;g;1,99;7,11;0
"Virtos SAMSONIUKØ deðrelës, a. r., 210 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";210;g;1,79;8,52;0
"Virtos deðrelës PAGAMINTA BE KONSERVANTØ, a. r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";400;g;3,29;8,23;0
"Virtos kalakutienos sardelës, a. r., 500 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";500;g;0;0;0
"Virtos BIOVELOS pieniðkos deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;1,69;6,5;0
"Virtos GIMINIØ sardelës, a. r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";400;g;2,79;6,98;0
"Virtos GASPADORIAUS sardelës, a.r., 500 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";500;g;1,43;2,86;0
"Virtos MANO sardelës, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";1;kg;2,69;2,69;0
"Virtos PAJÛRIO deðrelës, II r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";1;kg;2,69;2,69;0
"Virtos pieniðkos deðrelës KAI NORISI MËSOS, a. r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";280;g;2,17;7,75;0
"Virtos jautienos deðrelës KAI NORISI MËSOS, a.r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";280;g;2,28;8,14;0
"Virtos Klaipëdos pieniðkos deðrelës, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";300;g;1,29;4,3;0
"Virtos GIMINIØ deðrelës, a. r., 860 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";860;g;5,59;6,5;0
"Virtos rûkytos kiaulienos deðrelës BERLINKI, II r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";250;g;1,69;6,76;0
"Virtos ROKIÐKIO sardelës EKSTRA, a.r., 500 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";500;g;1,97;3,94;0
"Virtos jautienos deðrelës LIMOUSIN, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;2,49;9,58;0
"Virtos Klaipëdos EKSTRA deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;2,05;7,88;0
"Virtos lietuviðkos pieniðkos deðrelës, a. r., 520 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";520;g;3,29;6,33;0
"Virtos deðrelës PRO NATURA be nitritinës druskos, a.r., 210 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";210;g;2,49;11,86;0
"Virtos SAMSONO sardelës, a. r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";400;g;3,89;9,73;0
"Virtos viðtienos deðrelës HOT DOG, I r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";1;kg;2,49;2,49;0
"Virtos MAÞYLIØ deðrelës su kalakutiena ir jod. druska,a.r., 210 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";210;g;1,99;9,48;0
"Virtos MAÞYLIØ deðrelës su joduota druska, a. r., 210 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";210;g;2,49;11,86;0
"Virtos DRAKONIUKO deðrelës, a.r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";200;g;1,79;8,95;0
"Virtos GIMINIØ deðrelës, a. r., 260 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";260;g;1,79;6,88;0
"Virtos deðrelës JOKIØ PRIDËTINIØ E su vitaminu D, a. r., 210 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";210;g;1,37;6,52;2,29
"Virtos viðtienos deðrainiø deðrelës HOT DOG, I r., 910 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";910;g;2,19;2,41;0
"Virta GASPADORIAUS daktariðka deðra, a.r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";300;g;0,65;2,17;0
"Virta SAMSONO KUMPINË deðra, a.r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";200;g;2,19;10,95;0
"Virtos SAMSONO ekstra deðrelës, a. r., 220 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";220;g;2,29;10,41;0
"Virtos VAIKØ deðrelës , a.r., 230 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";230;g;2,29;9,96;0
"Virta daktariðka deðra, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;3,29;5,48;5,49
"Virta SAMSONO DAKTARIÐKA deðra, a.r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;4,39;7,32;0
"Virta GASPADORIAUS daktariðka deðra, a.r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;2,29;3,82;0
"Virta GIMINIØ daktariðka deðra, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,29;6,29;0
"Virta EKSTRA daktariðka deðra, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,49;6,49;0
"Virtos deðrelës PAGAMINTA BE KONSERVANTØ, a. r., 240 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðrelës";240;g;1,35;5,63;0
"Virta DAKTARIÐKA deðra, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";300;g;1,18;3,93;0
"Virta daktariðka GASPADORIAUS deðra, a.r., 580 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";580;g;2,6;4,48;0
"Virta ÞEMAITIÐKA deðra su laðinukais, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,99;6,99;0
"Virta DAKTARIÐKA premium deðra, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;3,69;6,15;0
"Virta deðra JOKIØ PRIDËTINIØ E, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,21;4,84;2,03
"Virta BAJORØ deðra, a.r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";400;g;2,75;6,88;0
"Virta SAMSONIUKØ deðra, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";300;g;1,99;6,63;0
"Virta MAÞYLIØ deðra, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";300;g;1,89;6,3;0
"Virta EKSTRA deðra su laðinukais, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;3,59;3,59;0
"Virta ÞEMAITIÐKA deðra, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,99;6,99;0
"Virta DAKTARIÐKA EKSTRA deðra, a.r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;0;0;0
"Virta DAKTARIÐKA EKSTRA deðra, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;3,5;5,83;0
"Virta deðra KAI NORISI MËSOS, a.r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,99;6,99;0
"Virta DZÛKØ deðra, a. r., 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;6,99;6,99;0
"Virta GASPADORIAUS DAKTARIÐKA deðra, a. r., 430 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";430;g;0,99;2,3;0
"Virta GIMINIØ daktariðka deðra, a.r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;3,89;6,48;0
"Virta DAKTARIÐKA KLASIKINË deðra, a. r., 600 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";600;g;3,79;6,32;0
"Virta deðra KAI NORISI MËSOS, a. r., 340 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";340;g;2,28;6,71;0
"Virta kumpinë SAMSONO deðra, a. r., 350 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";350;g;2,99;8,54;0
"Virta DAKTARIÐKA deðra su kumpiu, a. r., 500 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";500;g;2,69;5,38;3,29
"Virta EKSTRA DAKTARIÐKA deðra,s/ðn,a.r, 1 kg";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";1;kg;5,99;5,99;0
"Virta VAIKØ deðra, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,79;7,16;0
"Virta kiaulienos deðra CHOP&EAT, a. r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";200;g;0,79;3,95;0
"Virta UTENOS DAKTARIÐKA deðra, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,16;4,64;0
"Virta SAMSONO PANERIO deðra, a. r., 330 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";330;g;2,29;6,94;0
"Virta EKSTRA DAKTARIÐKA deðra, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,79;7,16;0
"Virta deðra LIETUVOS STANDARTAS, a.r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,7;6,8;0
"Virta kumpinë deðra CHOP&EAT, a. r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";200;g;1,05;5,25;0
"Virta PANERIO deðra, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,19;4,76;0
"Virta PANERIO deðra, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";300;g;1,12;3,73;0
"Virta SAMSONO DAKTARIÐKA deðra, a. r., 330 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";330;g;2,49;7,55;0
"Virta EKSTRA deðra su laðinukais, a. r., 320 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";320;g;1,59;4,97;0
"Virta DAKTARIÐKA deðra, a. r., 320 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";320;g;1,82;5,69;0
"Virta deðra KAI NORISI MËSOS grieþinëliais, a.r., 190 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";190;g;1,89;9,95;0
"Virta GIMINIØ DAKTARIÐKA deðra, a. r., 250 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";250;g;1,6;6,4;0
"Virta DAKTARIÐKA deðra, a. r., 160 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";160;g;1,59;9,94;0
"Virta SAMSONIUKØ deðra, a. r., 160 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Virtos deðros";160;g;1,49;9,31;0
"Karðtai rûkytas GASPADORIAUS servelatas, a. r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";280;g;0,94;3,36;0
"Karðtai rûkyta kiaulienos deðra PORMET, II r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";400;g;0;0;0
"Karðtai rûkytas KLAIPËDOS saliamis, a.r., 500 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";500;g;3,99;7,98;5,39
"Virta rûkyta kalakutienos deðra SERVELATAS, a. r., 300 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";300;g;1,55;5,17;0
"Karðtai rûkyta KROKUVOS deðra, pjauta, I r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";400;g;2,59;6,48;0
"Karðtai rûkyta deðra VILNIAUS servelatas, a. r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";280;g;2,79;9,96;0
"Karðtai rûkyta KROKUVOS deðra, I r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";400;g;2,49;6,23;0
"Karðtai rûkyta deðra BIOVELA EKSTRA servelatas, a. r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";400;g;3,99;9,98;0
"Karðtai rûkyta deðra BIOVELA EKSTRA saliamis, a. r., 200 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";200;g;2,29;11,45;0
"Karðtai rûkyta deðra BIOVELA saliamis, I r., 280 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";280;g;2,19;7,82;0
"Karðtai rûkyta deðra SAMSONO SERVELATAS, a. r., 220 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";220;g;2,49;11,32;0
"Virtas rûkytas KRIVIO saliamis, a.r., 400 g";"Mësa, þuvis ir kulinarija";"Mësos ir paukðtienos gaminiai";"Karðtai rûkytos deðros";400;g;4,39;10,98;0
