"Ilgavaisis agurkas, 220 g";"Darþovës ir vaisiai";Darþovës;"Agurkai ir pomidorai";220;g;0,89;4,05;0
"Knyga. N. Kinnear. KAIP KIÐKIS MOKËSI DRÀSOS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;8,49;8,49;0
"Knyga.Þ.Agurkytë MIAU MADOS NAMAI. SUPER ÞVAIGÞDËS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;3,89;3,89;0
"Knyga RATAI. SPALVINK PAGAL PAVYZDÁ SU LIPDUKAIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;0;0;0
"Knyga.L.Þutautë KAKË MAKË GROJA DÛDELE, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;12,49;12,49;0
"Knyga.LEGO.TVARKA GOTAMO MIESTE!, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;0;0;0
"Knyga. L.Þutautë. MONSTROPEDIJA SU KAKE MAKE, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;12,99;12,99;0
"Knyga.GRAÞIAUSIØ PASAKØ KNYGA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;8,99;8,99;0
"Knyga.KAKËS MAKËS ATRADIMAI. GRAÞIAUSI ÞODÞIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;10,09;10,09;0
"Knyga.B.Davies.NOJUS IR BANGINIS ÞIEMÀ, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,49;7,49;0
"Knyga.B.Davies.NOJUS IR BANGINIS, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;7,49;7,49;0
"Knyga.(BEVEIK) PAAUGLËS MERGAITËS KNYGA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;6,99;6,99;0
"Knyga.KUTIS.GYVÛNËLIAI KALBA, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;1,99;1,99;0
"Knyga DU GAIDELIAI, 1 vnt.";"Namai ir laisvalaikis";"Laikraðèiai, þurnalai, knygos";"Populiarioji literatûra vaikams";1;vnt.;11,29;11,29;0
